datetime,totalcustomers
2013-01-01,0.344135802469156
2013-10-01,0.033950617283899254
2013-11-01,-1.3225308641975233
2013-12-01,0.12191358024697796
2013-02-01,-2.2577160493826662
2013-03-01,0.7052469135802228
2013-04-01,-3.063271604938342
2013-05-01,4.751543209876603
2013-06-01,4.362654320987658
2013-07-01,3.4969135802469276
2013-08-01,-5.975308641975263
2013-09-01,-1.572530864197536
2014-01-01,-1.3225308641975864
2014-10-01,-2.091049382715987
2014-11-01,1.8024691358024767
2014-12-01,-3.0864197530863935
2014-02-01,2.2839506172839625
2014-03-01,-0.3364197530864059
2014-04-01,0.8533950617284005
2014-05-01,4.501543209876546
2014-06-01,0.40432098765434327
2014-07-01,1.580246913580242
2014-08-01,-0.10030864197526318
2014-09-01,-3.7808641975308506
2015-01-01,-1.655864197530844
2015-10-01,-2.2577160493827293
2015-11-01,-4.572530864197523
2015-12-01,0.03858024691354989
2015-02-01,2.3256172839505913
2015-03-01,2.663580246913594
2015-04-01,1.436728395061715
2015-05-01,0.5015432098765465
2015-06-01,0.4876543209877145
2015-07-01,1.1219135802469276
2015-08-01,-0.3503086419752632
2015-09-01,-4.614197530864222
2016-01-01,1.844135802469156
2016-10-01,3.7422839506173275
2016-11-01,2.2191358024691623
2016-12-01,2.496913580246921
2016-02-01,-0.7577160493826663
2016-03-01,0.7469135802469653
2016-04-01,2.1033950617284005
2016-05-01,-9.498456790123454
2016-06-01,-2.179012345679028
2016-07-01,1.5385802469136132
2016-08-01,3.733024691358051
2016-09-01,2.8441358024691494
2017-01-01,-0.32253086419752963
2017-10-01,-1.1327160493827295
2017-11-01,0.09413580246910547
2017-12-01,-3.128086419753079
2017-02-01,-4.424382716049295
2017-03-01,-2.794753086419777
2017-04-01,1.0617283950617717
2017-05-01,1.2515432098765467
2017-06-01,1.570987654320972
2017-07-01,0.41358024691361317
2017-08-01,-0.5169753086420057
2017-09-01,1.5108024691358353
2018-01-01,1.5108024691357849
2018-10-01,1.7422839506172705
2018-11-01,-0.5308641975308377
2018-12-01,-1.7114197530864501
2018-02-01,-0.3410493827160944
2018-03-01,-0.8780864197530915
2018-04-01,2.1867283950617717
2018-05-01,-1.3734567901234533
2018-06-01,-1.0956790123456568
2018-07-01,-1.5030864197530724
2018-08-01,-0.3919753086419488
2018-09-01,-1.9891975308641647
2019-01-01,1.6358024691358417
2019-10-01,3.2422839506173275
2019-11-01,3.9691358024691623
2019-12-01,2.871913580246921
2019-02-01,2.4506172839505913
2019-03-01,-3.086419753086406
2019-04-01,-3.7716049382715426
2019-05-01,-1.4984567901234533
2019-06-01,-0.17901234567902796
2019-07-01,-0.5864197530863868
2019-08-01,2.27469135802468
2019-09-01,2.927469135802464
2020-01-01,-2.8225308641975295
2020-10-01,-2.5910493827160437
2020-11-01,-1.9475308641975233
2020-12-01,0.9552469135802923
2020-02-01,0.575617283950648
2020-03-01,0.1219135802469653
2020-04-01,-0.02160493827159949
2020-05-01,1.2932098765432323
2020-06-01,-0.30401234567902796
2020-07-01,-2.3780864197531293
2020-08-01,0.10802469135799436
2020-09-01,2.510802469135835
2021-01-01,0.8024691358025272
2021-10-01,-0.6743827160493583
2021-11-01,0.3024691358024767
2021-12-01,1.4552469135802355
2021-02-01,0.15895061728390555
2021-03-01,2.8719135802469085
2021-04-01,-0.7716049382715995
2021-05-01,0.08487654320986093
2021-06-01,-3.054012345678971
2021-07-01,-3.669753086419758
2021-08-01,1.2330246913579943
2021-09-01,2.177469135802464
