datetime,totalkWh
2013-01-01,7497.081790123455
2013-10-01,6968.410493827159
2013-11-01,-8823.612654320961
2013-12-01,1203.7623456790461
2013-02-01,-20053.654320987655
2013-03-01,2465.841049382714
2013-04-01,-1079.080246913587
2013-05-01,9631.132716049404
2013-06-01,-11967.691358024676
2013-07-01,-25976.580246913563
2013-08-01,3949.3595679012797
2013-09-01,7028.364197530835
2014-01-01,12168.290123456769
2014-10-01,13355.493827160502
2014-11-01,-6273.820987654333
2014-12-01,-8176.320987654326
2014-02-01,-17933.862654320998
2014-03-01,5812.466049382772
2014-04-01,1453.753086419756
2014-05-01,15391.04938271606
2014-06-01,12604.35030864198
2014-07-01,9810.919753086437
2014-08-01,-17961.473765432063
2014-09-01,562.1975308642068
2015-01-01,2581.790123456798
2015-10-01,-6561.214506172841
2015-11-01,14156.095679012324
2015-12-01,-13975.404320987669
2015-02-01,-5034.4043209876545
2015-03-01,9540.924382716057
2015-04-01,3232.9197530864712
2015-05-01,-3912.325617283939
2015-06-01,-14330.14969135799
2015-07-01,477.1280864197797
2015-08-01,2943.6095679012215
2015-09-01,-384.5524691357932
2016-01-01,6038.665123456798
2016-10-01,10734.577160493845
2016-11-01,8456.304012345696
2016-12-01,-11449.40432098764
2016-02-01,-6984.4043209876545
2016-03-01,-8270.075617283914
2016-04-01,12212.919753086413
2016-05-01,-9072.533950617282
2016-06-01,-23067.52469135805
2016-07-01,3704.0864197530937
2016-08-01,4176.0262345679075
2016-09-01,2518.28086419755
2017-01-01,-7827.418209876516
2017-10-01,9248.53549382716
2017-11-01,15127.76234567898
2017-12-01,7213.470679012302
2017-02-01,12409.55401234566
2017-03-01,-5302.117283950629
2017-04-01,-20900.45524691356
2017-05-01,-22704.367283950596
2017-06-01,51258.43364197532
2017-07-01,-20553.330246913563
2017-08-01,6126.9012345679075
2017-09-01,14218.65586419752
2018-01-01,1356.915123456798
2018-10-01,-11198.547839506155
2018-11-01,-18126.86265432096
2018-12-01,18367.22067901233
2018-02-01,-6491.4043209876545
2018-03-01,-7284.367283950629
2018-04-01,-2674.080246913558
2018-05-01,-5718.783950617282
2018-06-01,-5481.3996913580195
2018-07-01,-13647.99691358025
2018-08-01,30049.776234567908
2018-09-01,10126.697530864178
2019-01-01,6229.498456790141
2019-10-01,-25878.006172839498
2019-11-01,-5109.070987654333
2019-12-01,-17581.362654320983
2019-02-01,4961.8873456790025
2019-03-01,-15200.867283950629
2019-04-01,599.33641975307
2019-05-01,32145.841049382718
2019-06-01,10389.47530864198
2019-07-01,19737.586419753094
2019-08-01,-8781.848765432122
2019-09-01,-15253.635802469136
2020-01-01,-12165.959876543202
2020-10-01,-662.0061728394685
2020-11-01,-16754.279320987618
2020-12-01,-7769.987654320983
2020-02-01,32952.05401234569
2020-03-01,18541.75771604937
2020-04-01,4243.503086419756
2020-05-01,-11481.575617283968
2020-06-01,-20684.483024691363
2020-07-01,8899.461419753065
2020-08-01,-17735.098765432092
2020-09-01,-6130.760802469107
2021-01-01,-16225.501543209859
2021-10-01,3646.1188271604733
2021-11-01,17000.845679012353
2021-12-01,31821.387345678988
2021-02-01,5827.5956790123455
2021-03-01,-650.2006172839428
2021-04-01,2564.544753086413
2021-05-01,-4625.075617283939
2021-06-01,932.3503086419805
2021-07-01,17202.086419753065
2021-08-01,-3113.8904320987785
2021-09-01,-13031.885802469136
