,datetime,totalkWh
551,2013-01-01,"243,356"
552,2013-10-01,"155,096"
553,2013-11-01,"166,309"
554,2013-12-01,"251,764"
555,2013-02-01,"181,203"
556,2013-03-01,"154,701"
557,2013-04-01,"148,667"
558,2013-05-01,"183,036"
559,2013-06-01,"244,316"
560,2013-07-01,"313,489"
561,2013-08-01,"265,497"
562,2013-09-01,"215,810"
563,2014-01-01,"203,345"
564,2014-10-01,"159,041"
565,2014-11-01,"156,099"
566,2014-12-01,"196,543"
567,2014-02-01,"157,547"
568,2014-03-01,"146,948"
569,2014-04-01,"144,608"
570,2014-05-01,"183,048"
571,2014-06-01,"242,489"
572,2014-07-01,"305,472"
573,2014-08-01,"273,349"
574,2014-09-01,"225,469"
575,2015-01-01,"212,381"
576,2015-10-01,"170,462"
577,2015-11-01,"186,372"
578,2015-12-01,"238,596"
579,2015-02-01,"141,476"
580,2015-03-01,"145,534"
581,2015-04-01,"138,789"
582,2015-05-01,"164,610"
583,2015-06-01,"260,069"
584,2015-07-01,"291,597"
585,2015-08-01,"276,843"
586,2015-09-01,"220,582"
587,2016-01-01,"205,131"
588,2016-10-01,"143,238"
589,2016-11-01,"151,403"
590,2016-12-01,"220,467"
591,2016-02-01,"153,678"
592,2016-03-01,"134,807"
593,2016-04-01,"132,354"
594,2016-05-01,"173,393"
595,2016-06-01,"247,695"
596,2016-07-01,"289,419"
597,2016-08-01,"270,851"
598,2016-09-01,"199,329"
599,2017-01-01,"211,568"
600,2017-10-01,"135,425"
601,2017-11-01,"141,149"
602,2017-12-01,"224,908"
603,2017-02-01,"159,198"
604,2017-03-01,"145,162"
605,2017-04-01,"126,413"
606,2017-05-01,"179,047"
607,2017-06-01,"265,718"
608,2017-07-01,"322,380"
609,2017-08-01,"303,485"
610,2017-09-01,"215,400"
611,2018-01-01,"192,031"
612,2018-10-01,"134,745"
613,2018-11-01,"224,838"
614,2018-12-01,"206,124"
615,2018-02-01,"162,549"
616,2018-03-01,"154,398"
617,2018-04-01,"132,951"
618,2018-05-01,"157,233"
619,2018-06-01,"225,078"
620,2018-07-01,"320,653"
621,2018-08-01,"273,048"
622,2018-09-01,"201,794"
623,2019-01-01,"197,804"
624,2019-10-01,"139,461"
625,2019-11-01,"158,688"
626,2019-12-01,"205,290"
627,2019-02-01,"180,223"
628,2019-03-01,"147,206"
629,2019-04-01,"136,006"
630,2019-05-01,"143,313"
631,2019-06-01,"245,170"
632,2019-07-01,"298,294"
633,2019-08-01,"299,014"
634,2019-09-01,"207,357"
635,2020-01-01,"215,187"
636,2020-10-01,"194,416"
637,2020-11-01,"193,853"
638,2020-12-01,"259,510"
639,2020-02-01,"164,998"
640,2020-03-01,"148,116"
641,2020-04-01,"146,081"
642,2020-05-01,"193,912"
643,2020-06-01,"253,633"
644,2020-07-01,"324,531"
645,2020-08-01,"342,917"
646,2020-09-01,"259,392"
647,2021-01-01,"238,421"
648,2021-10-01,"169,421"
649,2021-11-01,"182,373"
650,2021-12-01,"271,993"
651,2021-02-01,"179,203"
652,2021-03-01,"176,705"
653,2021-04-01,"159,616"
654,2021-05-01,"218,073"
655,2021-06-01,"311,611"
656,2021-07-01,"390,705"
657,2021-08-01,"342,974"
658,2021-09-01,"266,662"
659,2022-01-01,"261,502"
660,2022-10-01,"198,779"
661,2022-11-01,"221,420"
662,2022-12-01,"290,583"
663,2022-02-01,"201,673"
664,2022-03-01,"179,761"
665,2022-04-01,"157,836"
666,2022-05-01,"203,346"
667,2022-06-01,"286,765"
668,2022-07-01,"368,276"
669,2022-08-01,"373,108"
670,2022-09-01,"294,455"
